DATE,IPG211111CS
1989-01-01,121.5103
1989-02-01,117.9263
1989-03-01,115.2228
1989-04-01,118.4715
1989-05-01,120.1326
1989-06-01,118.1901
1989-07-01,115.9522
1989-08-01,117.1584
1989-09-01,117.1610
1989-10-01,114.3638
1989-11-01,115.4534
1989-12-01,112.3691
1990-01-01,115.3847
1990-02-01,113.5726
1990-03-01,113.0265
1990-04-01,113.0876
1990-05-01,112.8269
1990-06-01,110.2452
1990-07-01,111.9220
1990-08-01,113.1220
1990-09-01,111.9957
1990-10-01,115.5795
1990-11-01,113.2040
1990-12-01,112.2077
1991-01-01,114.5433
1991-02-01,115.7886
1991-03-01,114.8224
1991-04-01,114.7741
1991-05-01,114.1041
1991-06-01,113.5853
1991-07-01,114.7354
1991-08-01,113.6407
1991-09-01,114.1481
1991-10-01,113.7903
1991-11-01,112.2980
1991-12-01,111.4260
1992-01-01,112.3403
1992-02-01,112.1123
1992-03-01,111.8151
1992-04-01,111.7384
1992-05-01,110.3697
1992-06-01,111.1337
1992-07-01,111.3998
1992-08-01,107.6519
1992-09-01,108.9379
1992-10-01,108.9292
1992-11-01,107.5647
1992-12-01,108.2805
1993-01-01,106.2758
1993-02-01,105.4431
1993-03-01,106.1702
1993-04-01,105.6603
1993-05-01,105.3513
1993-06-01,105.2038
1993-07-01,104.5156
1993-08-01,105.2054
1993-09-01,104.0206
1993-10-01,104.4989
1993-11-01,105.7085
1993-12-01,104.3724
1994-01-01,104.1530
1994-02-01,102.8631
1994-03-01,102.7749
1994-04-01,101.6842
1994-05-01,102.7726
1994-06-01,102.2137
1994-07-01,101.6032
1994-08-01,101.9572
1994-09-01,102.4671
1994-10-01,101.7796
1994-11-01,101.2349
1994-12-01,102.7659
1995-01-01,102.2264
1995-02-01,103.2749
1995-03-01,100.6764
1995-04-01,101.5862
1995-05-01,101.7591
1995-06-01,101.6439
1995-07-01,100.6505
1995-08-01,100.4811
1995-09-01,99.5402
1995-10-01,98.1997
1995-11-01,100.4849
1995-12-01,99.2392
1996-01-01,99.5263
1996-02-01,99.9741
1996-03-01,100.3569
1996-04-01,99.0197
1996-05-01,98.0883
1996-06-01,99.7870
1996-07-01,98.7346
1996-08-01,99.1581
1996-09-01,100.6682
1996-10-01,99.1554
1996-11-01,98.7226
1996-12-01,98.8561
1997-01-01,98.2891
1997-02-01,99.1077
1997-03-01,98.6147
1997-04-01,98.7545
1997-05-01,99.3583
1997-06-01,99.5280
1997-07-01,99.6956
1997-08-01,98.9322
1997-09-01,100.7759
1997-10-01,98.9583
1997-11-01,98.4379
1997-12-01,99.2327
1998-01-01,100.6459
1998-02-01,98.7397
1998-03-01,97.8176
1998-04-01,99.2477
1998-05-01,97.3884
1998-06-01,96.8062
1998-07-01,96.2430
1998-08-01,96.6248
1998-09-01,90.0599
1998-10-01,94.0184
1998-11-01,93.5278
1998-12-01,91.8061
1999-01-01,91.8088
1999-02-01,91.1892
1999-03-01,89.6765
1999-04-01,90.0168
1999-05-01,90.0534
1999-06-01,88.8596
1999-07-01,90.0107
1999-08-01,89.9833
1999-09-01,90.3376
1999-10-01,91.1652
1999-11-01,90.8787
1999-12-01,90.6462
2000-01-01,89.0269
2000-02-01,89.5780
2000-03-01,90.1092
2000-04-01,89.4539
2000-05-01,89.5017
2000-06-01,89.6373
2000-07-01,89.0892
2000-08-01,90.0470
2000-09-01,89.6950
2000-10-01,89.1973
2000-11-01,89.0779
2000-12-01,89.2393
2001-01-01,89.1521
2001-02-01,88.4878
2001-03-01,89.3099
2001-04-01,89.5393
2001-05-01,89.0870
2001-06-01,88.5121
2001-07-01,89.3073
2001-08-01,88.9634
2001-09-01,89.0065
2001-10-01,88.4347
2001-11-01,90.1455
2001-12-01,89.9557
2002-01-01,90.2211
2002-02-01,90.0110
2002-03-01,89.2314
2002-04-01,89.1393
2002-05-01,90.0332
2002-06-01,90.1364
2002-07-01,89.4542
2002-08-01,90.1221
2002-09-01,84.4568
2002-10-01,82.5208
2002-11-01,86.5138
2002-12-01,87.6037
2003-01-01,88.3755
2003-02-01,88.4859
2003-03-01,87.8308
2003-04-01,87.2497
2003-05-01,86.0551
2003-06-01,86.4587
2003-07-01,85.5682
2003-08-01,86.7801
2003-09-01,87.6704
2003-10-01,86.6306
2003-11-01,85.5041
2003-12-01,85.4273
2004-01-01,85.7596
2004-02-01,85.2516
2004-03-01,84.9859
2004-04-01,84.5594
2004-05-01,84.1253
2004-06-01,82.5589
2004-07-01,85.3042
2004-08-01,83.0187
2004-09-01,79.5756
2004-10-01,79.9018
2004-11-01,83.7772
2004-12-01,84.6058
2005-01-01,83.7506
2005-02-01,84.2672
2005-03-01,84.8997
2005-04-01,84.4595
2005-05-01,83.2049
2005-06-01,82.9808
2005-07-01,81.8091
2005-08-01,81.3946
2005-09-01,66.1226
2005-10-01,70.5132
2005-11-01,74.9942
2005-12-01,76.4330
2006-01-01,77.5444
2006-02-01,76.9461
2006-03-01,76.1665
2006-04-01,77.0131
2006-05-01,77.5992
2006-06-01,78.7836
2006-07-01,79.2223
2006-08-01,78.8415
2006-09-01,78.8073
2006-10-01,79.2466
2006-11-01,78.3843
2006-12-01,79.3055
2007-01-01,78.3556
2007-02-01,78.0312
2007-03-01,77.5790
2007-04-01,78.5357
2007-05-01,78.5421
2007-06-01,77.6292
2007-07-01,78.5218
2007-08-01,77.9379
2007-09-01,76.6424
2007-10-01,77.9881
2007-11-01,77.8931
2007-12-01,78.0962
2008-01-01,78.3924
2008-02-01,78.3129
2008-03-01,78.8343
2008-04-01,78.7391
2008-05-01,77.8134
2008-06-01,78.9956
2008-07-01,80.9398
2008-08-01,78.4340
2008-09-01,61.7307
2008-10-01,73.2658
2008-11-01,78.4727
2008-12-01,77.9373
2009-01-01,78.5521
2009-02-01,79.3807
2009-03-01,79.0488
2009-04-01,80.5138
2009-05-01,81.6404
2009-06-01,81.1772
2009-07-01,84.4651
2009-08-01,84.6069
2009-09-01,86.4712
2009-10-01,85.0993
2009-11-01,83.0052
2009-12-01,82.9974
2010-01-01,82.3157
2010-02-01,84.0742
2010-03-01,83.6893
2010-04-01,82.3542
2010-05-01,82.3318
2010-06-01,83.5273
2010-07-01,83.2780
2010-08-01,85.0609
2010-09-01,87.2176
2010-10-01,86.1988
2010-11-01,85.4620
2010-12-01,85.5302
2011-01-01,83.9413
2011-02-01,81.9578
2011-03-01,85.4261
2011-04-01,85.0785
2011-05-01,86.0985
2011-06-01,86.9930
2011-07-01,85.3204
2011-08-01,88.2811
2011-09-01,86.6594
2011-10-01,89.8760
2011-11-01,91.5780
2011-12-01,92.1209
2012-01-01,94.2452
2012-02-01,95.2210
2012-03-01,96.2302
2012-04-01,96.4000
2012-05-01,97.7032
2012-06-01,97.9508
2012-07-01,100.5910
2012-08-01,98.5170
2012-09-01,101.8652
2012-10-01,105.9011
2012-11-01,106.9724
2012-12-01,108.4029
2013-01-01,107.5574
2013-02-01,109.3190
2013-03-01,110.2751
2013-04-01,112.4159
2013-05-01,112.6928
2013-06-01,113.4659
2013-07-01,116.9059
2013-08-01,117.0630
2013-09-01,120.7586
2013-10-01,117.5031
2013-11-01,119.4582
2013-12-01,120.8487
2014-01-01,123.3690
2014-02-01,124.7475
2014-03-01,126.6318
2014-04-01,130.9258
2014-05-01,132.7837
2014-06-01,136.1791
2014-07-01,136.7130
2014-08-01,137.9118
2014-09-01,140.0231
2014-10-01,141.0586
2014-11-01,141.0873
2014-12-01,145.0839
2015-01-01,144.0177
2015-02-01,145.8821
2015-03-01,146.4294
2015-04-01,147.5234
2015-05-01,146.0012
2015-06-01,145.9948
2015-07-01,146.7075
2015-08-01,145.8303
2015-09-01,146.1372
2015-10-01,143.8665
2015-11-01,141.2204
2015-12-01,141.8178
2016-01-01,141.2218
2016-02-01,138.7921
2016-03-01,138.5903
2016-04-01,135.7038
2016-05-01,136.1478
2016-06-01,135.5946
2016-07-01,134.4678
2016-08-01,134.5392
2016-09-01,131.4438
2016-10-01,134.8621
2016-11-01,134.5200
2016-12-01,134.6018
2017-01-01,135.7984
2017-02-01,139.1702
2017-03-01,139.1998
2017-04-01,139.4411
2017-05-01,141.5133
2017-06-01,142.0318
2017-07-01,143.7723
2017-08-01,143.2902
2017-09-01,146.5172
2017-10-01,149.0555
2017-11-01,152.8129
2017-12-01,153.9728
2018-01-01,153.7310
2018-02-01,157.0382
2018-03-01,159.1853
2018-04-01,161.0924
2018-05-01,161.5769
2018-06-01,167.0842
2018-07-01,170.2561
2018-08-01,175.4124
2018-09-01,177.1282
2018-10-01,177.6539
2018-11-01,180.2319
2018-12-01,183.5231
2019-01-01,182.6073
2019-02-01,177.7803
2019-03-01,179.7723
2019-04-01,185.4908
2019-05-01,185.9404
2019-06-01,187.6951
2019-07-01,183.0254
2019-08-01,190.5313
2019-09-01,191.5446
2019-10-01,193.6455
2019-11-01,193.1580
2019-12-01,195.3964
2020-01-01,195.2808
2020-02-01,194.2447
2020-03-01,192.6574
2020-04-01,183.8464
2020-05-01,153.8721
2020-06-01,162.5163
2020-07-01,169.8960
2020-08-01,163.1694
2020-09-01,166.9605
2020-10-01,159.6225
2020-11-01,167.7010
2020-12-01,169.0901
2021-01-01,169.3324
2021-02-01,150.1659
2021-03-01,163.8943
2021-04-01,165.4698
